gen,best,mean,diversity
0,22.58400846705814,-4.809488023319788,1.1607103786345285
1,43.31626667004125,-4.41295090950682,1.1417368723308894
2,26.532517165937513,-4.830840310349984,1.1175496139123582
3,22.532517165937513,-4.722729694503196,1.0993970049239443
4,16.237802669737583,-4.908812439441271,1.0957695491622945
5,28.104036550476266,-4.680530103910782,1.0774827114141377
6,-5.000282476020947,-5.2464811208731215,1.0963219853208828
7,7.130678271061157,-5.152342880365379,1.0896006165344918
8,127.59951328619651,-3.6824834273239144,1.116737230234467
9,54.6804797423176,-4.636225310610649,1.130501997786547
10,69.59951328619651,-3.26259682622155,1.1389557039049383
11,1.082278740927812,-4.999012542492098,1.146713231917627
12,57.87307868096015,-4.287100594235325,1.1598455359960878
13,31.759423386531658,-4.3859571347892885,1.1582060254751192
14,67.87441326562347,-3.9016779225972016,1.1833213389354096
15,38.87441326562348,-3.60789758946086,1.152982759651213
16,25.979058150298336,-4.799267120924059,1.1730682320677102
17,14.507658439782134,-4.709378871532619,1.197952615528459
18,36.7445977942632,-4.350801824192704,1.2181492613179914
19,22.595692010966296,-4.447341860235309,1.2167775097481617
20,36.488425947755466,-4.260916054441724,1.2028001322035586
21,46.7445977942632,-4.284284344978106,1.199151620886942
22,41.7445977942632,-4.280808423827594,1.1898799939582962
23,28.882949654435564,-4.233917747302425,1.1941860221135094
24,44.7445977942632,-3.9983596957486007,1.198109387089629
25,31.7445977942632,-4.0025408731131975,1.1630577588345148
26,31.7445977942632,-3.646132151562035,1.1328471015605497
27,34.7445977942632,-3.7129482018499083,1.1410920142533243
28,29.39801616923843,-4.258468424697932,1.1337513347395591
29,31.595692010966296,-3.7814338280180717,1.0824150509602137
30,33.675449932944964,-3.9928303881993084,1.07076162685887
31,38.265398640513304,-4.040267995605744,1.0425539361291054
32,50.265398640513304,-4.366465657080479,1.053213146697388
33,22.265398640513304,-4.180844810746826,1.0902043163336552
34,42.7445977942632,-4.363515687907833,1.0971306611104874
35,13.97209865761009,-4.824691082889149,1.0908961586326484
36,46.96530928924313,-3.946416826773241,1.1307916752902984
37,43.96530928924313,-3.920712035384842,1.1594097774548742
38,44.96530928924313,-4.211641630752639,1.1244908850867483
39,44.200790067289574,-3.816999952222234,1.1017976875799116
40,28.175017389710916,-4.257953396738795,1.0718726654643391
41,50.7445977942632,-3.78108763548943,1.1187085913573525
42,46.7445977942632,-4.205552630788347,1.107982590084755
43,41.265398640513304,-4.054385001302974,1.12455601117789
44,32.265398640513304,-4.417779267080213,1.1414365895278566
45,36.7445977942632,-4.805456844951791,1.124403463806389
46,38.7445977942632,-3.9474505033899514,1.1079763026380325
47,42.46882119496964,-3.900613329702902,1.0193545552670813
48,29.87871263280759,-4.329347789729423,0.8974472244086567
49,41.7445977942632,-4.1839936770085515,0.9830002521184784
50,39.7445977942632,-3.9886906220112257,1.0424611764251457
