gen,best,mean,diversity
0,74.46062951036649,-3.0357380113929118,1.1607103786345285
1,56.86898011561732,-1.7555423013922482,1.1993060330083485
2,93.52511347488229,-0.06733125653992085,1.176048745407726
3,116.76604150719241,4.329405203057589,1.2105053533307462
4,71.93408599618397,3.728034604074977,1.069127425548165
5,42.76604150719241,3.6544604727668206,0.8464689259256152
6,35.76604150719241,6.358783269143978,0.7472365401235544
7,26.495359306364534,9.80908686408173,0.5956233817451791
8,25.495359306364534,10.512638047046334,0.4853249661634871
9,25.344597676677168,10.528161224537653,0.41589124515297243
10,21.14965935233075,9.812874280842601,0.42106827215494624
11,26.14965935233075,10.603131269062827,0.42268807964130817
12,22.14965935233075,9.437721477315636,0.4349476126387737
13,22.344597676677168,9.528834125258768,0.4340044047049043
14,25.14965935233075,10.526300420274294,0.4005961411141097
15,21.260002422674045,10.706525066025497,0.40376031719343825
16,28.260002422674045,10.244255712935788,0.38880538975671475
17,24.766041507192416,10.336791370187436,0.38266660854063067
18,20.229168747152293,10.034911677292454,0.380547858863673
19,24.766041507192416,10.63999718299919,0.3633673491204817
20,27.14965935233075,10.779122876823264,0.3262935804612356
21,24.766041507192416,11.163569817596525,0.3266310745297058
22,24.766041507192416,11.10457404025734,0.3376027695239235
23,21.412947508730127,10.993020290830241,0.348062522504011
24,25.344597676677168,10.141780789608493,0.3449043458518921
25,21.344597676677168,10.620232854384177,0.3670869462179659
26,25.412947508730127,11.166493171160749,0.34519070920904565
27,28.412947508730127,10.358235235169927,0.35741456862286297
28,25.766041507192416,10.35038896388518,0.3941166791711667
29,21.412947508730127,10.570818430996134,0.39959328949402884
30,23.412947508730127,10.698022562459435,0.3835717586532916
31,27.412947508730127,10.957799373211706,0.3660558881795641
32,25.412947508730127,11.354426257155644,0.2916070651184141
33,27.443280217474182,11.605825096747191,0.24102737099763638
34,28.058687611549267,10.39363399509697,0.25453461066454497
35,21.766041507192416,11.366166312722504,0.21873720994462678
36,28.412947508730127,11.94669137319881,0.23518152268379047
37,24.412947508730127,11.115326075873552,0.22964549180002158
38,29.412947508730127,11.184837609393707,0.20708297961657407
39,24.412947508730127,11.216530638643412,0.18165933266029088
40,24.362140345533625,11.421162665173169,0.18074425751418746
41,30.362140345533625,11.537695110014383,0.128454232488945
42,25.412947508730127,10.866174430928657,0.10377475951747507
43,27.412947508730127,11.162497181738752,0.1080067318982933
44,23.058687611549267,10.333081851010713,0.10988993861979637
45,28.058687611549267,10.969808520042905,0.11886340281021528
46,28.412947508730127,10.954691777634656,0.11385857313056767
47,25.412947508730127,10.944726622509739,0.08601073323182998
48,33.362140345533625,11.631798656298638,0.07854495555074528
49,27.412947508730127,10.70985936456713,0.07485469247459413
50,23.412947508730127,11.53431841312472,0.060607755553512464
