gen,best,mean,diversity
0,15.025348603343424,-4.9767580838194325,1.1223999458133582
1,1.040582365527488,-5.048746196006794,1.1586069631690017
2,-1.6676978879877797,-5.056727947110925,1.1110737659581176
3,-1.0187641522223032,-5.00664257224973,1.1080578903364457
4,1.001438217747907,-4.891779545037312,1.1370651931915978
5,5.194930335817833,-4.765196487782047,1.0775874197282855
6,1.2043717332679051,-4.738910028794801,1.003584166427415
7,6.895920893926956,-4.59147234759585,0.9519802974193744
8,2.244479430888889,-4.52362297581613,0.8629108531116958
9,4.277675482028121,-4.627215396481993,0.8519227369223279
10,-1.4567561088580252,-4.7904467095967265,0.7992074591641619
11,1.2112833797496574,-4.776937173138965,0.7469609860367862
12,0.4358480675264005,-4.78839949710266,0.6855389689138478
13,0.3772636354458161,-4.816089591665001,0.6293851460448139
14,-0.37123365767376093,-4.832107211409111,0.5730974865168077
15,-2.296849809719129,-4.89314165276011,0.44440585110598524
16,0.3606656098762002,-4.82153975574283,0.3781775231582174
17,-2.233092225758016,-4.845825439754865,0.3189391245669178
18,0.6181400783327202,-4.818338591297991,0.3119991565036037
19,-0.44561750562839286,-4.823668545101031,0.3900933749463769
20,-0.47335413442764107,-4.854281006410725,0.3517969937736155
21,-1.3074760737126478,-4.840635013934221,0.37903253576029544
22,0.565008758365126,-4.841724105171059,0.27541090700853266
23,-1.360607393680242,-4.849818910346009,0.24311392603815538
24,-0.32872860169968554,-4.8144808867033335,0.15214306501338465
25,-1.5121163171749767,-4.829080651753633,0.10804545529773588
26,2.575635022358645,-4.780297784161656,0.07543534730673276
27,-1.3499811296867232,-4.792631990224184,0.07416073335952865
28,-2.2352300974532007,-4.86407586223016,0.06653982825178274
29,-0.3924861856607986,-4.876234691345267,0.05644121618918864
30,1.6606451343067956,-4.767659316716976,0.06300396976303231
31,-1.3522649530373787,-4.867810664577106,0.07183036219176576
32,-1.2777882267565381,-4.846501186382279,0.07726961593400758
33,-1.245869629779035,-4.854827820345279,0.09248013455647383
34,-2.2671486944307038,-4.8725681623057175,0.10458351018327158
35,-2.479939340947391,-4.896214152089801,0.11410891226462076
36,-1.3074760737126478,-4.872339312732548,0.11573481785320461
37,-2.299067291408207,-4.87814592580973,0.10484940410779413
38,-2.1809776783277126,-4.892485884462359,0.11296282447928359
39,-1.371233657673761,-4.834312604544683,0.12592730624356854
40,-2.2012134337774594,-4.888791487281587,0.13779242898834854
41,-1.40288737315338,-4.877832064723652,0.1382652733807156
42,-1.3159248872754041,-4.876921311645829,0.13014700332668505
43,-2.213951032801532,-4.854379295171936,0.122080701218515
44,-2.2398327121321753,-4.895716432458377,0.1262208318667111
45,-0.3376655087448981,-4.816301374571475,0.11972523539982009
46,0.5427610731728851,-4.810738784777658,0.12364057870546602
47,1.564501694642379,-4.821530909114168,0.12185811405207506
48,-2.315924887275404,-4.909395204404972,0.11060013273290835
49,-2.2615733336016692,-4.8435588259628215,0.11837145819538782
50,0.6514641805203549,-4.792713552206723,0.1178845765118799
