gen,best,mean,diversity
0,574.3468621582116,11.057880300768534,1.1712015701987348
1,531.3468621582116,23.682196243744553,1.1442410652160677
2,407.3468621582116,30.13696534384852,1.1273413138104114
3,223.70911389290586,28.16819490241374,1.0656742740461596
4,117.48611219382111,24.500976465443618,0.8965688211618084
5,84.53932840358571,21.425067653693578,0.7399502150941139
6,76.53932840358571,19.4510862657465,0.6307728803921054
7,58.53932840358571,17.83557661199857,0.6041538326420518
8,44.45733988866521,15.567947283477928,0.6102316584755247
9,46.3797515385686,14.603380273083165,0.5935751760712581
10,42.45733988866521,13.991011100791194,0.5461382305440734
11,50.45733988866521,13.110348520172968,0.5408430448802256
12,41.087952670926065,14.648960935349788,0.5204642196148528
13,40.45733988866521,14.633659693187786,0.5448508770394805
14,45.880794542286345,16.08578164986694,0.5586396082822438
15,64.16994118584728,14.97854574721022,0.5535882314127558
16,43.155249302585304,15.51226710831313,0.5214861727357063
17,38.155249302585304,15.436824329064347,0.48886516389034773
18,40.155249302585304,15.393045419176241,0.44738074452883964
19,42.07326078766409,16.50741016559885,0.4508390893247774
20,42.56745199942209,16.860108999908633,0.4303074488096475
21,44.07326078766409,16.37698944242171,0.37809890149783615
22,47.07326078766409,17.28300974633155,0.39102944650684546
23,45.56745199942209,17.520960076085455,0.33639387753557765
24,33.07326078766409,17.027864233940257,0.3257149004590071
25,46.07326078766409,16.82275654335601,0.2794874794742551
26,44.56745199942209,17.986203043204434,0.2741167938844843
27,40.56745199942209,18.330497144054313,0.27292587667441354
28,40.95763957898933,17.39535069805184,0.27745290042232124
29,46.07326078766409,17.62441596694308,0.2820106082497641
30,43.56745199942209,17.80718102937411,0.2720556662089826
31,54.07326078766409,18.22934834679714,0.27890846352363763
32,44.56745199942209,18.799323756163886,0.265989155549121
33,43.07326078766409,17.95142598730611,0.24525272122579994
34,37.56745199942209,17.1669520257589,0.25080391891925463
35,49.07326078766409,18.12113142072258,0.27251954856081206
36,44.07326078766409,17.701796305246592,0.29401735741842727
37,46.07326078766409,17.68472460198405,0.2926172466458119
38,46.07326078766409,17.097340046146364,0.29111034652535583
39,45.56745199942209,17.234697323871323,0.29782232817801535
40,46.07326078766409,17.11832102318722,0.2850132657897948
41,46.07326078766409,17.786436240232348,0.2897572092184116
42,53.105375230671335,17.28106006444957,0.2919526362153053
43,48.24272290112362,17.69767742723875,0.2895564717286917
44,43.07326078766409,16.628825885013963,0.29359045276250867
45,38.07859462530107,17.397110315082003,0.28894481618210793
46,39.655687382149935,17.129954053584456,0.2789515118447647
47,43.76012275250188,17.85218918716962,0.2821564727626506
48,44.779143893679645,18.211176576293937,0.2729106918026805
49,43.63093870492277,18.59130216451753,0.2781908126682317
50,52.07326078766409,18.705734619381538,0.286481771496052
