gen,best,mean,diversity
0,22.58400846705814,-4.703172824054508,1.1607103786345285
1,19.238373175270468,-4.579288813745879,1.207587389408744
2,12.846446935749675,-4.4147145574129745,1.1910164022541185
3,12.558276645818413,-4.2356728737399285,1.1413590201931498
4,5.0342351738950715,-4.198212895576056,0.9973711874588737
5,2.2653769767472927,-4.082277822448765,0.9434491196784691
6,1.9960647073733693,-4.0574200698757,0.8578913733075312
7,0.19264826235078303,-4.178832510777609,0.8307261636610538
8,5.7460852801037365,-4.090008431409102,0.7661589346464291
9,0.28072340734505197,-4.366469103854085,0.7219781078916809
10,2.0841950883302527,-4.1165524451818785,0.7151852082503728
11,2.372853065775395,-4.061611167034466,0.6390498018539992
12,1.323856053667173,-4.080280204443208,0.6458941279686791
13,3.382710209931414,-3.977546373684269,0.693026181590298
14,2.4062518724371103,-3.797178821973409,0.6824454979327206
15,7.105902971952684,-3.670352580599507,0.6622948818843932
16,2.6234932939568942,-3.6274860813705128,0.6048120817925078
17,4.230486038347127,-3.64563163415192,0.5601417988097438
18,10.097148750896704,-3.3784881642350335,0.3972361733587137
19,5.347397716172869,-3.5967842815964297,0.3628256353561692
20,4.995162468490957,-3.4434331773492532,0.310479522769685
21,2.5121893537127438,-3.757675138114135,0.27097993750026284
22,7.123751922368754,-3.5992514676424445,0.26645372261970507
23,3.3709393786785657,-3.6036684986625485,0.24662964991667316
24,5.2260494553196075,-3.5901434919994917,0.279404236754519
25,4.482985202870289,-3.371582642904357,0.29604603032346144
26,3.2031684388661628,-3.6398635991662407,0.2814497616225428
27,4.408658786585388,-3.407730589074471,0.2703680552901253
28,6.290499807531059,-3.509043608299066,0.16959327854976117
29,1.465106028701351,-3.598796167846395,0.16434017313897648
30,4.476876859954199,-3.4781576332450532,0.17006996424320425
31,5.322724983636785,-3.6603333718179027,0.16935074018728422
32,5.333466709005361,-3.4988101916646728,0.1603330741026863
33,4.547501847471288,-3.5281210177826448,0.17680886985594435
34,3.362996107474091,-3.5218856005283743,0.18121645768799574
35,1.6342350193254696,-3.619981925304299,0.17108996175115027
36,4.4623674134282645,-3.43005090403347,0.16567328628934638
37,3.550999354232424,-3.7188969367898195,0.16124670915695935
38,3.4180227036899584,-3.534679139150687,0.16269299653301295
39,1.6171374720858438,-3.5826395953672834,0.17094751937250496
40,8.118852774875648,-3.4492618886783504,0.1674919687598001
41,2.5707854072290814,-3.586826540159136,0.1768838845614966
42,3.4896692937297473,-3.5182999603166705,0.16221001674646185
43,6.35061309915946,-3.6717817624237057,0.1694615808216616
44,4.387175335848237,-3.51633394222602,0.1691582944771541
45,2.269496985660126,-3.4948596485287244,0.1677957242239561
46,6.275887810128541,-3.5628366346505085,0.16921565655633522
47,1.4317292126587944,-3.627204488120712,0.16794254025317934
48,2.304261034302698,-3.7583733829891854,0.16237979326825053
49,1.524433342372319,-3.531761745149915,0.16594445991536905
50,4.306537432880958,-3.499020227682264,0.1676597130346248
