config,last_gen,best_mean,best_ci,mean_mean,mean_ci
sel random,50,39.7445977942632,,-3.9886906220112257,
food regrow slow,50,23.412947508730127,,11.53431841312472,
phase2 prey predator,50,11.711777485826987,,1.3582006638591038,
xo onepoint,50,4.53877898783567,,-3.323787613919966,
ticks 1500,50,4.306537432880958,,-3.499020227682264,
sel roulette,50,2.512189353712744,,-3.478850131670691,
xo uniform,50,2.436958561798349,,-3.5229873543647225,
baseline,50,2.436958561798349,,-3.5229873543647225,
pop 200,50,0.6514641805203549,,-4.792713552206723,
