config,final_best,gen_to_90pct
sel random,39.7445977942632,1
food regrow slow,23.412947508730127,0
phase2 prey predator,11.711777485826987,0
xo onepoint,4.53877898783567,0
ticks 1500,4.306537432880958,0
sel roulette,2.512189353712744,0
xo uniform,2.436958561798349,0
baseline,2.436958561798349,0
pop 200,0.6514641805203549,0
